no,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,latitude,longitude,description,aff_link,trans_desc,types,combined,file_id,image_link
391,Pantai Wediombo,4.5,6072,Pantai,5000.0,5000.0,-8.1902176,110.7103772,"Daya tarik pantai ini terletak di gugusan karangnya. Sepanjang bibir pantai, Wedi Ombo dihiasi hamparan karang. Bebatuan ini membuat Wedi Ombo bagaikan taman karang yang luas. Selain itu, lautnya yang tenang membuat lokasinya cocok untuk bersantai. Pantai Wedi Ombo berada di pinggiran teluk. Pantai ini menghadap ke barat dengan garis pantai nyaris lurus. Ini membuat angin laut yang menerpa tidak sekencang pantai lainnya. Sehingga, lautnya pun cenderung lebih tenang.",https://www.tiket.com/to-do/search?title=Pantai%20Wediombo,"The attraction of this beach is located in the coral group.Along the shoreline, Wedi Ombo is decorated with coral stretch.These rocks make Wedi Ombo like a large coral park.In addition, the calm sea makes the location suitable for relaxing.Wedi Ombo Beach is on the edge of the bay.This beach faces west with almost straight coastline.This makes the sea breeze that hit not as fast as other beaches.So, the sea tends to be calmer.",Beach,"Beach The attraction of this beach is located in the coral group.Along the shoreline, Wedi Ombo is decorated with coral stretch.These rocks make Wedi Ombo like a large coral park.In addition, the calm sea makes the location suitable for relaxing.Wedi Ombo Beach is on the edge of the bay.This beach faces west with almost straight coastline.This makes the sea breeze that hit not as fast as other beaches.So, the sea tends to be calmer.",1CE2oyVH2NBk2HgyJX2GSbSRUdoZuXFNH,https://drive.google.com/uc?id=1CE2oyVH2NBk2HgyJX2GSbSRUdoZuXFNH
366,Pantai Parangkusumo,4.4,5887,Pantai,3000.0,3000.0,-8.022769,110.324995,"Pantai Parangkusumo merupakan salah satu pantai yang dianggap sakral oleh penduduk setempat. Masyarakat Jogja meyakini adanya hubungan spesial antara Keraton Jogja dengan Nyi Roro Kidul, penguasa pantai selatan. Dalam tradisi Jawa, Pantai Parangkusumo dianggap sebagai gerbang utama atau jalan menuju Keraton Gaib Laut Selatan, kerajaan Nyi Roro Kidul. Karena itu, tak heran jika Pantai Parangkusumo kerap menjadi tujuan peziarah saat bulan Sura dalam kalender penanggalan Jawa. Begitu pun pada hari-hari biasa, pengunjung akan meramaikan pantai saat malam Selasa Kliwon dan Jumat Kliwon. Meski kental dengan nuansa mistis dan legenda, Pantai Parangkusumo juga menawarkan pemandangan yang tak kalah indah dari pantai lain di Jogja. Di sini, kamu akan melihat tumbuhan sejenis kelapa sawit berjejer di bagian belakang pantai yang menciptakan kesan asri.",https://www.tiket.com/to-do/search?title=Pantai%20Parangkusumo,"Parangkusumo Beach is one of the beaches that are considered sacred by local residents.The Jogja people believe that there is a special relationship between the Jogja Palace and Nyi Roro Kidul, the ruler of the southern coast.In Javanese tradition, Parangkusumo Beach is considered the main gate or the road to the southern sea magical palace, the kingdom of Nyi Roro Kidul.Therefore, it is not surprising that Parangkusumo Beach is often the destination of pilgrims during the Sura Moon in the Javanese calendar calendar.Likewise on ordinary days, visitors will enliven the beach on Tuesday night Kliwon and Friday Kliwon.Although thick with mystical and legendary feel, Parangkusumo Beach also offers a view that is no less beautiful than other beaches in Jogja.Here, you will see a type of palm oil lined up on the back of the beach that creates a beautiful impression.",Beach,"Beach Parangkusumo Beach is one of the beaches that are considered sacred by local residents.The Jogja people believe that there is a special relationship between the Jogja Palace and Nyi Roro Kidul, the ruler of the southern coast.In Javanese tradition, Parangkusumo Beach is considered the main gate or the road to the southern sea magical palace, the kingdom of Nyi Roro Kidul.Therefore, it is not surprising that Parangkusumo Beach is often the destination of pilgrims during the Sura Moon in the Javanese calendar calendar.Likewise on ordinary days, visitors will enliven the beach on Tuesday night Kliwon and Friday Kliwon.Although thick with mystical and legendary feel, Parangkusumo Beach also offers a view that is no less beautiful than other beaches in Jogja.Here, you will see a type of palm oil lined up on the back of the beach that creates a beautiful impression.",18eAyN40V2VVns1ketpJCCbr4XXls4d2Z,https://drive.google.com/uc?id=18eAyN40V2VVns1ketpJCCbr4XXls4d2Z
170,Taman Sungai Mudal,4.6,5499,Alam,10000.0,10000.0,-7.7628136,110.1161626,"Taman Sungai Mudal, sebuah objek wisata alam terbuka yang terletak di Kabupaten Kulon Progo, yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami. Mata airnya bersumber dari sebuah goa, sehingga kehadiran Taman Sungai Mudal menjadi mengesampingkan kesan angker dari sebuah goa. Apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana.",https://www.tiket.com/to-do/search?title=Taman%20Sungai%20Mudal,"Mudal Sungai Park, an open natural attraction located in Kulon Progo Regency, which offers the charm of a bathing pool sourced from natural springs.The springs are sourced from a cave, so the presence of the Mudal River Park becomes aside the impression of a haunted from a cave.Moreover, coupled with the support of facilities that make tourists feel comfortable while there.",Natural,"Natural Mudal Sungai Park, an open natural attraction located in Kulon Progo Regency, which offers the charm of a bathing pool sourced from natural springs.The springs are sourced from a cave, so the presence of the Mudal River Park becomes aside the impression of a haunted from a cave.Moreover, coupled with the support of facilities that make tourists feel comfortable while there.",1tMjQaAponHv_XI5rdHjltv-Lfti40UG2,https://drive.google.com/uc?id=1tMjQaAponHv_XI5rdHjltv-Lfti40UG2
131,Taman Pelangi Jogja,4.3,5459,Buatan,15000.0,20000.0,-7.7505259,110.3687049,"Kalau pelangi biasanya ada di siang hari pasca hujan, maka di Taman Pelangi Yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. Ya, ini lantaran taman ini merupakan Taman Lampion beraneka warna dan rupa. Pengunjung bisa mengarahkan diri ke deretan lampion yang berbentuk flora dan fauna. Ada juga lampion berbentuk tokoh kartun disney dan kartun jepang, dinosaurus, naga, serta kehidupan bawah laut yang sangat menarik perhatian terutama anak-anak. Tak meninggalkan Budaya dan Sejarah, ada juga lampion yang berbentuk wajah para tokoh pemimpin bangsa. Buka sejak petang, Taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari.",https://www.tiket.com/to-do/search?title=Taman%20Pelangi%20Jogja,"If the rainbow is usually in the afternoon after the rain, then in the Yogyakarta Pelangi Park, visitors can actually enjoy it every night.Yes, this is because this park is a colorful and appearance of lantern park.Visitors can direct themselves to a row of lanterns in the form of flora and fauna.There are also lanterns in the form of Disney cartoon characters and Japanese cartoons, dinosaurs, dragons, and underwater life that are very interesting, especially children.Not leaving culture and history, there are also lanterns in the form of the faces of the leaders of the nation.Open since evening, this park is indeed very suitable as a choice of family recreation destinations at night.",Artificial,"Artificial If the rainbow is usually in the afternoon after the rain, then in the Yogyakarta Pelangi Park, visitors can actually enjoy it every night.Yes, this is because this park is a colorful and appearance of lantern park.Visitors can direct themselves to a row of lanterns in the form of flora and fauna.There are also lanterns in the form of Disney cartoon characters and Japanese cartoons, dinosaurs, dragons, and underwater life that are very interesting, especially children.Not leaving culture and history, there are also lanterns in the form of the faces of the leaders of the nation.Open since evening, this park is indeed very suitable as a choice of family recreation destinations at night.",1cmpdaQ4FsgVJdEXuKuxwn_iXAb4zRXH9,https://drive.google.com/uc?id=1cmpdaQ4FsgVJdEXuKuxwn_iXAb4zRXH9
373,Pantai Cemara Sewu Bantul Yogyakarta,4.4,5372,Pantai,10000.0,10000.0,-8.019114,110.3145616,"Jika anda mencari suasana nyaman dan ketenangan, maka pantai ini lah juaranya. Seperti namanya yang berarti pantai seribu cemara, maka begitu anda tiba di area pantai anda akan langsung disambut dengan pohon cemara. Pohon cemara menjadi ikon penting bagi pantai ini. Berbeda dengan pantai-pantai lain yang akan semakin panas jika hari semakin siang. Di Pantai Cemoro Sewu suasana teduh akan bisa selalu anda rasakan walaupun matahari sangat menyengat sekalipun. Gazebo-gazebo yang berdiri rapi di antara pepohonan cemara yang rimbun membuat pengunjung semakin betah untuk bersantai di sana. Apalagi jika semakin sore angin pantai akan semakin semilir menambah sejuk suasana.",https://www.tiket.com/to-do/search?title=Pantai%20Cemara%20Sewu%20Bantul%20Yogyakarta,"If you are looking for a comfortable atmosphere and calm, then this beach is the champion.As the name suggests, which means a thousand cemara beach, once you arrive at the beach area you will immediately be greeted with a pine tree.Pine trees are an important icon for this beach.Unlike the other beaches that will be hotter if the day is getting late.At Cemoro Sewu Beach the shade atmosphere will always be felt even though the sun is very stinging though.Gazebo-gazebo that stands neatly among lush pine trees makes visitors more comfortable to relax there.Especially if the evening the beach will be more breeze adding to the cool atmosphere.",Beach,"Beach If you are looking for a comfortable atmosphere and calm, then this beach is the champion.As the name suggests, which means a thousand cemara beach, once you arrive at the beach area you will immediately be greeted with a pine tree.Pine trees are an important icon for this beach.Unlike the other beaches that will be hotter if the day is getting late.At Cemoro Sewu Beach the shade atmosphere will always be felt even though the sun is very stinging though.Gazebo-gazebo that stands neatly among lush pine trees makes visitors more comfortable to relax there.Especially if the evening the beach will be more breeze adding to the cool atmosphere.",1wC7BLTYMDZvSJ6yjfO_nM9Bpm7rki8Ve,https://drive.google.com/uc?id=1wC7BLTYMDZvSJ6yjfO_nM9Bpm7rki8Ve
460,Bukit Klangon,4.5,5280,Alam,5000.0,5000.0,-7.5768966,110.4548266,Di bukit Klangon kita akan disuguhkan pemandangan luar biasa dari Gunung Merapi. Kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat. Kita tak perlu mendaki hingga puncaknya karena di Bukit Klangon ini kita sudah bisa melihat puncak Gunung Merapi dengan cukup jelas. Di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit. Gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic.,https://www.tiket.com/to-do/search?title=Bukit%20Klangon,In Bukit Klangon we will be presented with extraordinary views from Mount Merapi.We can see this active volcano with a distance that is so close.We don't need to climb to the peak because in this Klangon hill we can already see the peak of Mount Merapi quite clearly.Here there are several viewing substations that we can use to see natural exoticism around the hill.This viewing post is also usually a photo spot so don't let you forget your camera to hunt for instagenic scenery.,Natural,Natural In Bukit Klangon we will be presented with extraordinary views from Mount Merapi.We can see this active volcano with a distance that is so close.We don't need to climb to the peak because in this Klangon hill we can already see the peak of Mount Merapi quite clearly.Here there are several viewing substations that we can use to see natural exoticism around the hill.This viewing post is also usually a photo spot so don't let you forget your camera to hunt for instagenic scenery.,1nYfQ5BRntiXXqvYvdvXaTJ3PABHElyiU,https://drive.google.com/uc?id=1nYfQ5BRntiXXqvYvdvXaTJ3PABHElyiU
36,Taman Wisata Kaliurang,4.4,5217,Alam,8000.0,8000.0,-7.598797,110.42636,"Taman Wisata Kaliurang dapat menjadi referensi wisata akhir pekan keluarga. Pemandangan sekitar sangatlah indah, masih banyak pepohonan yang tumbuh tinggi menjulang. Ditambah lagi pemandangan puncak Gunung Merapi yang gagah. Selain itu, udara di sekitar pun masih sangat sejuk. Aroma asap kendaraan bermotor pun tidak tercium di kawasan ini. Berada di sini membuat paru – paru menjadi lebih sehat. Banyak wisatawan yang datang bersama keluarga. Duduk santai beralaskan tikar di atas rerumputan sambil bercengkerama dengan keluarga. Ditambah lagi, suasana yang sangat mendukung untuk beramah – tamah. Selain menyuguhkan pemandangan yang indah, Taman Wisata Kaliurang pun memiliki wahana outbound. Seperti flying fox hingga rumah pohon Ridz High Rope.",https://www.tiket.com/to-do/search?title=Taman%20Wisata%20Kaliurang,"Kaliurang Tourism Park can be a tourist reference for family weekend.The surrounding scenery is very beautiful, there are still many trees that grow tall.Plus the view of the dashing peak of Mount Merapi.In addition, the air around is still very cool.The aroma of motor vehicle smoke is not smelled in this area.Being here makes the lungs healthier.Many tourists come with family.Sitting relaxed with a mat on the grass while chatting with family.Plus, the atmosphere is very supportive for a long time.In addition to presenting a beautiful view, Kaliurang Tourism Park also has an outbound ride.Like Flying Fox to Ridz High Rope tree house.",Natural,"Natural Kaliurang Tourism Park can be a tourist reference for family weekend.The surrounding scenery is very beautiful, there are still many trees that grow tall.Plus the view of the dashing peak of Mount Merapi.In addition, the air around is still very cool.The aroma of motor vehicle smoke is not smelled in this area.Being here makes the lungs healthier.Many tourists come with family.Sitting relaxed with a mat on the grass while chatting with family.Plus, the atmosphere is very supportive for a long time.In addition to presenting a beautiful view, Kaliurang Tourism Park also has an outbound ride.Like Flying Fox to Ridz High Rope tree house.",1oj0JIZtIcY7m1VzFaQtz68b0z1baxaCE,https://drive.google.com/uc?id=1oj0JIZtIcY7m1VzFaQtz68b0z1baxaCE
25,Taman Pintar Yogyakarta,4.5,4846,Buatan,20000.0,20000.0,-7.799757357,110.3678697,"Taman Pintar Yogyakarta adalah wahana wisata yang terdapat di pusat Kota Yogyakarta, tepatnya di Jalan Panembahan Senopati No. 1-3, Yogyakarta, di kawasan Benteng Vredeburg. Taman ini memadukan tempat wisata rekreasi maupun edukasi dalam satu lokasi. tempat rekreasi ini sangat baik untuk anak-anak dalam masa perkembangan. taman ini, khususnya pada wahana pendidikan anak usia dini dilengkapi dengan teknologi interaktif digital serta pemetaan video yang akan memacu imajinasi anak serta ketertarikan mereka terhadap teknologi",https://www.tiket.com/to-do/search?title=Taman%20Pintar%20Yogyakarta,"Taman Pintar Yogyakarta is a tourist vehicle located in the center of Yogyakarta, precisely on Jalan Panembahan Senopati No.1-3, Yogyakarta, in the Benteng Vredeburg area.This park combines recreational and education tourist attractions in one location.This recreation area is very good for children in a period of development.This park, especially in an early childhood education vehicle is equipped with digital interactive technology and video mapping that will spur children's imagination and their interest in technology",Artificial,"Artificial Taman Pintar Yogyakarta is a tourist vehicle located in the center of Yogyakarta, precisely on Jalan Panembahan Senopati No.1-3, Yogyakarta, in the Benteng Vredeburg area.This park combines recreational and education tourist attractions in one location.This recreation area is very good for children in a period of development.This park, especially in an early childhood education vehicle is equipped with digital interactive technology and video mapping that will spur children's imagination and their interest in technology",1GyIuhBbrMaHAJdxf9KxOL0AItmADNhOh,https://drive.google.com/uc?id=1GyIuhBbrMaHAJdxf9KxOL0AItmADNhOh
415,Pantai Indrayanti,4.4,4793,Pantai,12000.0,12000.0,-8.1508415,110.6129852,"Pantai kecil berpasir putih yang dikelilingi pepohonan dan bebatuan besar, serta beragam restoran & pertokoan",https://www.tiket.com/to-do/search?title=Pantai%20Indrayanti,"White sandy beach surrounded by trees and large rocks, as well as various restaurants & shops",Beach,"Beach White sandy beach surrounded by trees and large rocks, as well as various restaurants & shops",1EMqcQIQGuZVIGVbr4wyYO9xYSbWNSaDC,https://drive.google.com/uc?id=1EMqcQIQGuZVIGVbr4wyYO9xYSbWNSaDC
204,Mangrove Jembatan Api-Api (MJAA),4.3,4425,Alam,8000.0,8000.0,-7.89485,110.0253631,Mangrove Jembatan Api-api di Kulon Progo ini memadukan konsep alam dan spot instagenik. Anda bisa bersantai sambil foto-foto di sini.,https://www.tiket.com/to-do/search?title=Mangrove%20Jembatan%20Api-Api%20%28MJAA%29,This fire bridge mangrove in Kulon Progo combines the concept of nature and instagenic spots.You can relax while taking photos here.,Natural,Natural This fire bridge mangrove in Kulon Progo combines the concept of nature and instagenic spots.You can relax while taking photos here.,1qVNuFnv-3h00PjqtkzPxSmLy8N5KJoig,https://drive.google.com/uc?id=1qVNuFnv-3h00PjqtkzPxSmLy8N5KJoig
419,Embung Nglanggeran,4.5,4366,Buatan,10000.0,10000.0,-7.8471399,110.5468589,"Embung Nglanggeran merupakan waduk kecil tempat menampung air yang memiliki luas sekitar 0,34 hektar. Air embung ini digunakan untuk sarana pengairan di area perkebunan sekitar. Selain untuk pengairan, telaga ini juga dimanfaatkan sebagai obyek wisata. Itu karena keindahan panorama yang dapat disaksikan dari embung berketinggian sekitar 495 meter di atas permukaan laut ini. Selain embung (telaga tampungan air), pemandangan gunung api purba menjadi pesona yang ditawarkan oleh objek wisata tersebut.",https://www.tiket.com/to-do/search?title=Embung%20Nglanggeran,"Nglanggeran Embung is a small reservoir where water has an area of ​​about 0.34 hectares.This reservoir is used for irrigation facilities in the surrounding plantation area.In addition to irrigation, this lake is also used as a tourist attraction.That's because the beauty of the panorama that can be witnessed from the reservoir with a height of about 495 meters above sea level.In addition to the reservoir (lake of water reservoirs), the view of the ancient volcano became the charm offered by the tourist attraction.",Artificial,"Artificial Nglanggeran Embung is a small reservoir where water has an area of ​​about 0.34 hectares.This reservoir is used for irrigation facilities in the surrounding plantation area.In addition to irrigation, this lake is also used as a tourist attraction.That's because the beauty of the panorama that can be witnessed from the reservoir with a height of about 495 meters above sea level.In addition to the reservoir (lake of water reservoirs), the view of the ancient volcano became the charm offered by the tourist attraction.",11noqqKWbtuHDz3mG0lProIbWjRAuBHMn,https://drive.google.com/uc?id=11noqqKWbtuHDz3mG0lProIbWjRAuBHMn
178,Bukit Wisata Pulepayung,4.5,4287,"Alam, Buatan",10000.0,10000.0,-7.8001106,110.1238954,"Pule Payung Kulon Progo Yogyakarta merupakan wisata alam dengan spot foto instagramable. Letaknya tidak jauh dari Kalibiru yaitu terletak di Kulon Progo, Yogyakarta. Tempat wisata yang satu ini sangat direkomendasi untuk anak muda yang ingin mendapatkan foto-foto unik karena memiliki banyak spot foto menarik. Daya tarik yang pertama dari Pule Payung Yogyakarta adalah objek wisata yang menyajikan pesona alam pegunungan. Sehingga, orang-orang menyebutnya dengan Bukit Wisata. Pule Payung Yogyakarta adalah objek wisata yang bukan hanya sekedar menawarkan keindahan, serta kenyamanan dalam berwisatanya saja. Namun mampu memberikan rasa aman bagi setiap pengunjungnya. Daya tarik Pule Payung Yogyakarta yang paling populer adalah onjek wisata yang menyajikan beragam spot keren yang instagramable.",https://www.tiket.com/to-do/search?title=Bukit%20Wisata%20Pulepayung,"Pule Payung Kulon Progo Yogyakarta is a natural attraction with instagramable photo spots.It is located not far from Kalibiru which is located in Kulon Progo, Yogyakarta.This tourist spot is highly recommended for young people who want to get unique photos because they have many interesting photo spots.The first attraction of Pule Payung Yogyakarta is a tourist attraction that presents the natural charm of the mountains.So, people call it a tourist hill.Pule Payung Yogyakarta is a tourist attraction that is not just offering beauty, as well as comfort in the authority.But able to provide a sense of security for every visitor.The most popular attraction of Yogyakarta Payung Payung is a tourist on tourism that presents a variety of cool instagramable spots.","Nature, artificial","Nature, artificial Pule Payung Kulon Progo Yogyakarta is a natural attraction with instagramable photo spots.It is located not far from Kalibiru which is located in Kulon Progo, Yogyakarta.This tourist spot is highly recommended for young people who want to get unique photos because they have many interesting photo spots.The first attraction of Pule Payung Yogyakarta is a tourist attraction that presents the natural charm of the mountains.So, people call it a tourist hill.Pule Payung Yogyakarta is a tourist attraction that is not just offering beauty, as well as comfort in the authority.But able to provide a sense of security for every visitor.The most popular attraction of Yogyakarta Payung Payung is a tourist on tourism that presents a variety of cool instagramable spots.",1U3HTyzaXKvzepHacBodVJHfk_BWyn32r,https://drive.google.com/uc?id=1U3HTyzaXKvzepHacBodVJHfk_BWyn32r
272,Seribu Batu Songgo Langit,4.6,4223,"Alam, Buatan",2500.0,2500.0,-7.931099,110.429738,"Disekitar hutan pinus ternyata masih banyak tempat wisata yang wajib dikunjungi, salah satunya adalah Seribu Batu Songgo Langit. Namanya terdengar asing, namun apabila disebut rumah Hobbit, tentunya sahabat akan segera tahu tempat wisata ini. Ya, Seribu Batu Songgo Langit adalah lokasi dimana terdapat rumah Hobbit yang ada di kawasan Mangunan. Rumah Hobbit yang dimaksud berbeda dengan yang ada di New Zealand pastinya. Rumah Hobbit disini merupakan tiruan dari yang terdapat di film Hobbit atau yang ada di New Zealand. Songgo langit berarti penyangga langit, hal ini dikarenakan di Seribu Baru Songgo Langit terdapat bukit yang seakan akan merupakan tiang dari langit .Seribu Batu Songgo Langit merupakan tempat wisata di kawasan Dlingo yang menawarkan berbagai macam atraksi wisata, namun kebanyakan adalah spot foto. Spot foto di Seribu Batu hampir semuanya anti mainstream.",https://www.tiket.com/to-do/search?title=Seribu%20Batu%20Songgo%20Langit,"Around the pine forest it turns out there are still many tourist attractions that must be visited, one of which is a thousand stones of Songgo Langit.The name sounds strange, but if called a hobbit house, of course friends will soon know this tourist spot.Yes, a thousand stones Songgo Langit is a location where there is a hobbit house in the Mangunan area.The hobbit house in question is different from those in New Zealand.Hobbit house here is an imitation of those found in the film Hobbit or that is in New Zealand.Songgo Langit means the buffer of the sky, this is because in a thousand new Songgo Langit there is a hill that seems to be a pole of the sky. Thousand stones Songgo Langit is a tourist spot in the Dlingo area that offers a variety of tourist attractions, but most are photo spots.Photo spots in a thousand stones are almost all anti -mainstream.","Nature, artificial","Nature, artificial Around the pine forest it turns out there are still many tourist attractions that must be visited, one of which is a thousand stones of Songgo Langit.The name sounds strange, but if called a hobbit house, of course friends will soon know this tourist spot.Yes, a thousand stones Songgo Langit is a location where there is a hobbit house in the Mangunan area.The hobbit house in question is different from those in New Zealand.Hobbit house here is an imitation of those found in the film Hobbit or that is in New Zealand.Songgo Langit means the buffer of the sky, this is because in a thousand new Songgo Langit there is a hill that seems to be a pole of the sky. Thousand stones Songgo Langit is a tourist spot in the Dlingo area that offers a variety of tourist attractions, but most are photo spots.Photo spots in a thousand stones are almost all anti -mainstream.",12xQjvz4a3S7TYk9T_rn1cEvz9BKsP4uN,https://drive.google.com/uc?id=12xQjvz4a3S7TYk9T_rn1cEvz9BKsP4uN
269,Jurang Tembelan Kanigoro,4.5,3867,"Alam, Buatan",0.0,0.0,-7.9401065,110.4300062,"Objek wisata Bantul ini ialah wisata alam spot foto terbaru yang sekarang menjadi hits di kalangan remaja kekinian. Sebab jurang Tembelan Mangunan Jogja memiliki deck view atau gardu pandangan terlihat cukup unik mirip seperti kapal. Tak heran pada akhirnya banyak wisatawan menyebutnya sebagai kapal titanic diatas awan. Sebelum seperti sekarang, sebenarnya jurang Tembelan Kanigoro Bantul tergolong masih sepi pengunjung. Lantaran baru saja dikembangkan oleh pihak pengelola wisata. Namun spot foto corner berupa gardu pandangan unik dan keindahan dimilikinya membuat pengunjung mulai ramai menyemarakkan. Sehingga tak lagi wisatawan lokal saja berbondong-bondong kesana, wisatawan luar kota pun dibuat penasaran dan menyempatkan waktu berswafoto. Di wisata alam Jogja ini pengunjung diperbolehkan bebas melakukan sesi pemotretan atau pun hanya sekedar berselfie ria. Tak hanya itu saja, pengunjung pun juga dapat menyaksikan lanskap matahari terbenam ketika menjelang sore hari dan juga kala matahari terbit yang diiringi pula keindahan tebal nya kabut putih khas pegunungan Mangunan.",https://www.tiket.com/to-do/search?title=Jurang%20Tembelan%20Kanigoro,"Bantul tourist attraction is the latest photo spot photo tourism which is now a hits among today's teenagers.Because the Gorge of Temblan Mangunan Jogja has a deck view or a vision substation looks quite unique like a ship.No wonder in the end many tourists call it a titanic ship on the clouds.Before it was like now, the Tembelo Kanigoro Bantul's cliff was actually still empty of visitors.Because it has just been developed by the tour manager.But the photo corner spot in the form of a unique view substation and its beauty makes visitors start to be crowded.So that no longer only local tourists flocked there, tourists outside the city were made curious and took the time to take pictures.In this Jogja nature tour, visitors are allowed to be free to do a photo shoot or even just a selfie.Not only that, visitors can also see the sunset landscape when late in the afternoon and also when the sunrise is also accompanied by the thickness of the thick fog of the typical white mountains of Mangunan.","Nature, artificial","Nature, artificial Bantul tourist attraction is the latest photo spot photo tourism which is now a hits among today's teenagers.Because the Gorge of Temblan Mangunan Jogja has a deck view or a vision substation looks quite unique like a ship.No wonder in the end many tourists call it a titanic ship on the clouds.Before it was like now, the Tembelo Kanigoro Bantul's cliff was actually still empty of visitors.Because it has just been developed by the tour manager.But the photo corner spot in the form of a unique view substation and its beauty makes visitors start to be crowded.So that no longer only local tourists flocked there, tourists outside the city were made curious and took the time to take pictures.In this Jogja nature tour, visitors are allowed to be free to do a photo shoot or even just a selfie.Not only that, visitors can also see the sunset landscape when late in the afternoon and also when the sunrise is also accompanied by the thickness of the thick fog of the typical white mountains of Mangunan.",1D_3e8Uw55L9C9MTwOriI5_8JDdJxklO0,https://drive.google.com/uc?id=1D_3e8Uw55L9C9MTwOriI5_8JDdJxklO0
315,Malioboro,4.7,3752,"Buatan, Budaya dan Sejarah",3000.0,3000.0,-7.7982487,110.3652793,"Malioboro adalah jantung Kota Jogja. Meskipun terkenal sebagai surga belanja cendera mata dan barang kerajinan, ternyata tak sedikit wisatawan dan orang lokal mendatangi Malioboro pagi-pagi sekali untuk berolahraga atau sekedar menikmati udara segar sambil mencari sarapan",https://www.tiket.com/to-do/search?title=Malioboro,"Malioboro is the heart of Jogja.Although famous as a paradise for souvenir shopping and handicraft items, it turns out that not a few tourists and local people come to Malioboro in the morning to exercise or just enjoy fresh air while looking for breakfast","Artificial, culture and history","Artificial, culture and history Malioboro is the heart of Jogja.Although famous as a paradise for souvenir shopping and handicraft items, it turns out that not a few tourists and local people come to Malioboro in the morning to exercise or just enjoy fresh air while looking for breakfast",1uvwx4bDAVrr2vGZ2D_X4EzXHkRYW0rt0,https://drive.google.com/uc?id=1uvwx4bDAVrr2vGZ2D_X4EzXHkRYW0rt0
463,Blue Lagoon Jogja,4.3,3585,"Alam, Wisata Air",3000.0,3000.0,-7.7044358,110.45026,"Blue Lagoon Jogja merupakan salah satu obyek wisata yang di jadikan tempat pemandian sumber mata air ini yang muncul dari permukaan tanah di dalam kolam. Apabila Anda melihat ke dalam kolam akan terlihat gelembung-gelembung kecil yang muncul dari permukaan tanah. Hal itu menunjukkan bahwa terdapat air yang terus menerus muncul dari permukaan tanah tersebut. Meskipun Blue Lagoon di Jogja ini sudah lama namun tempat wisata ini mulai tenar dipertengahan tahun 2014. Pemandian Blue Lagoon ini terletak di Desa Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta",https://www.tiket.com/to-do/search?title=Blue%20Lagoon%20Jogja,"Blue Lagoon Jogja is one of the tourist attractions that are used as a springs bath that arises from the ground in the pond.If you look into the pool you will look small bubbles that appear from the ground.This shows that there is water that continues to emerge from the surface of the land.Although the Blue Lagoon in Jogja has been a long time ago, this tourist spot began to be famous in the middle of 2014. The Blue Lagoon baths are located in the villages of Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta","Alam, Water Tourism","Alam, Water Tourism Blue Lagoon Jogja is one of the tourist attractions that are used as a springs bath that arises from the ground in the pond.If you look into the pool you will look small bubbles that appear from the ground.This shows that there is water that continues to emerge from the surface of the land.Although the Blue Lagoon in Jogja has been a long time ago, this tourist spot began to be famous in the middle of 2014. The Blue Lagoon baths are located in the villages of Dalem, Widodomartani, Ngemplak, Sleman, Yogyakarta",1Ze8qvkN_irMg4cRxG8m48ETUt3ywwQi0,https://drive.google.com/uc?id=1Ze8qvkN_irMg4cRxG8m48ETUt3ywwQi0
108,Bundaran UGM,4.7,3535,Buatan,0.0,0.0,-7.7760052,110.3760616,Bundaran UGM merupakan gerbang masuk utama Universitas Gadjah Mada.,https://www.tiket.com/to-do/search?title=Bundaran%20UGM,The UGM Roundabout is the main entrance of Gadjah Mada University.,Artificial,Artificial The UGM Roundabout is the main entrance of Gadjah Mada University.,17owFBUfGlHj9tk600iWKMBZrywnVNo_r,https://drive.google.com/uc?id=17owFBUfGlHj9tk600iWKMBZrywnVNo_r
